Name_of_Lf,P
LF_SynCon_U15_Tocopilla,5
LF_CCSS_Ana_Maria,5
LF_CCSS_Monte_Mina,5
LF_Alfalfal_II_U1,5
LF_Alfalfal_II_U2,5
LF_CH_Las_Lajas_U1,5
LF_CH_Las_Lajas_U1,5
LF_CCSS_Ana_Maria,5
LF_CCSS_Monte_Mina_2,5
LF_CCSS_LABERINTO,5
LF_CCSS_Nva_Chuqui,5
LF_CCSS_Nva_Lagunas,5
LF_CCSS_Parinas,5
LF_NVENTA,5
LF_CAMPI,5
LF_VENTA_U1,5
LF_VENTA_U2,5
LF_CARDO_U1,5
LF_TALT_U1,5
LF_TALT_U2,5
LF_RAPEL_U1,5
LF_RAPEL_U2,5
LF_RAPEL_U3,5
LF_RAPEL_U4,5
LF_RAPEL_U5,5
LF_SISIDRO_U1_TG,5
LF_SISIDRO_U1_TV,5
LF_SISIDRO_U2_TV,5
LF_SISIDRO_U2_TG,5
LF_GUACOLDA_U1_R,5
LF_GUADOLDA_U2,5
LF_GUACOLDA_U3,5
LF_GUACOLDA_U4,5
LF_GUACOLDA_U5,5
LF_NEHU_U1_TV,5
LF_NEHU_U1_TG,5
LF_NEHU_U2_TG,5
LF_NEHU_U2_TV,5
LF_NEHU_U3,5
LF_HORNIT_U1,5
LF_quilos,5
LF_BLANCO,5
LF_JUNCAL,5
LF_GUACOLDA_U1,5
LF_GUACOLDA_U2,5
LF_GUACOLDA_U3,5
LF_GUACOLDA_U4,5
LF_GUACOLDA_U5,5
LF_ALFAL_U1,5
LF_ALFAL_U2,5
LF_ALFAL_II_U1,5
LF_ALFAL_II_U2,5
LF_Tocopilla_U14,5
LF_Tocopilla_U15,5
LF_Tocopilla_U16,5
LF_TOCOPI_U12,5
LF_TOCOPI_U13,5
LF_CCH_U1,5
LF_CCH_U2,5
LF_KELAR_TG1,5
LF_KELAR_TG2,5
LF_KELAR_TV,5
LF_TG1A,5
LF_TG1B,5
LF_TV1C,5
LF_TG2A,5
LF_TG2B,5
LF_TV2C,5
LF_IEM,5
LF_CTM3_TG,5
LF_CTM3_TV,5
LF_CTH,5
LF_CTM2,5
LF_CTM1,5
LF_CTA,5
LF_ANG_U1,5
LF_ANG_U2,5
LF_CDOM_U1,5
LF_CCH_U1,5
LF_CPABE_U1,5
LF_CPABE_U2,5
LF_CPABE_U3,5
LF_NTO_U1,5
LF_NTO_U2,5
LF_CCH_U2,5
LF_CTTAR,5
LF_CTTAR,5
LF_SISIDRO_U1_TV,5
LF_QUINT_TG1A,5
LF_QUINT_TG1B,5
LF_LGUINDOS_U1,5
LF_LGUINDOS_U2,5
LF_SMARI_U1,5
LF_TORO_U1,5
LF_TORO_U3,5
LF_TORO_U2,5
LF_TORO_U4,5
LF_SLIDIA_U1,5
LF_LPINOS_U1,5
LF_ANTILH_U1,5
LF_ANTILH_U2,5
LF_BOCA_II,5
c_laja,5
C_Maipo_PA,5
LF_CANU_U1,5
LF_CANU_U2,5
Central_Rucatayo,5
C_ANTILLANCA,5
LF_VALD_U1,5
LF_CARILAF,5
LF_PANG_U1,5
LF_PANG_U2,5
LF_ANTU_U1,5
LF_ANTU_U2,5
LF_RALC_U1,5
LF_RALC_U2,5
c_palmucho,5
La_Mina_RColorado,5
LF_LomaAlta,5
LF_NIUBLE_U1,5
LF_DIGUA_U1,5
Loma_Alta_LHierros,5
Pehuenche_U1_lf,5
Pehuenche_U2_LF,5
LF_Candelar_U1,5
LF_RAPEL_U2,5
LF_LHIGUER_U1,5
LF_LHIGUER_U2,5
LF_EPASO_U1,5
LF_EPASO_U2,5
LF_EPASO_U3,5
LF_SANDRES_U1,5
LF_SANDRES_U2,5
LF_LCONFLUE_U1,5
LF_LCONFLUE_U2,5
LF_SFeE_U1_U1,5
LF_SFe_U2,5
LF_SFe_U2,5
LF_PACIFIC_U1,5
LF_PACIFIC_U1,5
LF_PACIFIC_U1,5
LF_ANG_U2,5
LF_ANG_U3,5
LF_ANG_U1,5
LF_PETPOWER_U1,5
LF_MAPA_TG7,5
LF_MAPA_TG8,5
LF_PEUCH_U1,5
LF_PEUCH_U2,5
LF_MAMP_U2,5
LF_RUCUE_U1,5
LF_RUCUE_U2,5
LF_QUILLEC_U1,5
LF_QUILLEC_U2,5
LF_COLB_U1,5
LF_COLB_U2,5
LF_MACHI_U1,5
LF_MACHI_U2,5
LF_CCSS_ANAMARIA_ALUPAR,5
LF_CCSS_ILLAPA_ALUPAR_2,5
LF_CCSS_Ana_Maria,5
LF_CCSS_ANAMARIA_ALUPAR_2,5
LF_CCSS_ANAMARIA_ALUPAR_3,5
LF_CCSS_Ana_Maria_2,5
