Name_WP,Active_ref
PE_El_Arrayan,0.28
PE_Pta_Palmeras,0.28
PE_Talinay_O_P,0.28
PE_Monte_Redondo,0.28
PE_CANELA_II,0.28
PE_LOS_CURUROS,0.28
PE_PUNTA_SIERRA,0.28
PE_Cabo_Leones_I,0.28
PE_La_Estrella,0.28
PE_San_Juan_I_II,0.28
PE_Ca_Man_Lce,0.28
PE_Sarco220,0.28
PE_Cerro_Pampa_Tigre,0.28
PE_Sierra_Gorda,0.28
PE_Tchamma,0.28
PE_Calama34,0.28
PE_Valle_de_los_Vientos,0.28
PE_Llanos_del_Viento,0.28
PE_Ckani_new,0.28
PE_Horizonte_Etapa1_OG,0.28
PE_Horizonte_Etapa2_OG,0.28
PE_Lomas_de_TalTal_OG,0.28
PE_Antofagasta_OG,0.28
PE_Pampa_Fidelia_OG,0.28
PE_Nolana_OG,0.28
PE_Paposo_OG,0.28
PE_Pampa_Yolana_OG,0.28
PE_Taltal_Parinas,0.28
PE_Cabo_Leones_II,0.28
PE_San_Pedro_II,0.28
PE_Aurora,0.28
PE_SanGabriel,0.28
PE_Los_Olmos,0.28
PE_Tolpan_Sur,0.28
PE_Lomas_de_Duqueco,0.28
PE_SUR_1,0.28
PE_SUR_3,0.28
PE_SUR_4,0.28
PE_Renaico_I,0.28
PE_San_Matias_Etapa1_OG,0.28
PE_Caman_Etapa1_OG,0.28
PE_MallecoNorte,0.28
PE_MallecoSur,0.28
PE_SUR_2,0.28
